,place,1(Быстрая черепашка),2(Вопрос о фигуре),3(Послание ),4(Построй дом!),5(Звездочный квадрат),Score,Penalty,department,hash
0,1,+,+,+,+,+,5,21,Не из МГУ,b6a720e40da936c330e1f53680b279381d1c5742
1,2,+,+,+,+,+,5,31,Физический факультет,57bd006a9261c889d76cba7537a3b61671cbcc6a
2,3,+,+,+,+,+,5,35,Механико-математический факультет,0b7a6e627adeb9d50c5ecb7b5a17ea452ec87659
3,4,+,+,+,+,+,5,55,Факультет вычислительной математики и кибернетики,c22dc82f7e88a8973a18180d85d5a3b0cf641b75
4,5,+,+,+,+,+,5,64,Механико-математический факультет,1ac42c1757e5790d220299fbe51540beda8b1d8a
5,6,+,+,+,+1,+1,5,71,Не из МГУ,c3cbfcb84529fad49cd0c2abe6e30d822c76d172
6,7,+,+,+,+,+,5,81,Химический факультет,1f2b3a7e8c61cdc6ce33300d9d2db530efac8992
7,8,+,+,+,+,+,5,83,Экономический факультет,c87202ecf91644df8d11189b68c6bff09022c66e
8,9,+,+,+,+,+,5,85,Физический факультет,bf645ad9dc7bbd259b7c6cae6e156c983e543dcf
9,10,+,+1,+,+,+,5,112,Экономический факультет,8dff6615f29afc2a464d8e490d43c52cdbba5af0
10,11-12,+,+,+,+,+,5,114,Высшая школа современных социальных наук,b0f09fe81cfce26e2d05a97fa64333cc63cb5343
11,11-12,+,+2,+,+1,+,5,114,Факультет вычислительной математики и кибернетики,14ea89466b7d8549a0bc7deb43657c2d06388ea7
12,13,+,+,+2,+,+,5,116,Не из МГУ,720880696a6b98723894dffa99b4337ebeb1fd73
13,14,+,+,+,+,+,5,118,Механико-математический факультет,2755dc7a7d02df5dd0b90f40b0f8657318e9cca4
14,15,+1,+,+2,+,+,5,122,Не из МГУ,10b0e4636b47584c2415dcb56b42bec1992d5c0d
15,16,+2,+,+,+1,+,5,126,Факультет космических исследований,3b471fa7b90435e7d1d8c477c9b61f92695cbd91
16,17,+,+,+,+,+,5,129,Геологический факультет,c5bc74b449c8c568e46542328bd2841ef477dab6
17,18,+,+1,+,+3,+,5,134,Механико-математический факультет,4227dca8e779378835d4a6ec61054c6a4c32ebe6
18,19,+1,+,+,+,+2,5,135,Экономический факультет,ad272d805f7a21c1fb03867d6210f6920003323d
19,20,+,+1,+1,+3,+,5,150,Экономический факультет,399fe6be8efaa535678584633762c3d40db104fd
20,21,+,+1,+,+,+,5,155,Факультет вычислительной математики и кибернетики,03ab23b3d584202006837377c1c42d910df72c0f
21,22,+3,+,+,+,+,5,162,Факультет космических исследований,af52a8e8cb064d1595c157d4a452eac94addce9a
22,23,+1,+,+,+1,+2,5,166,Факультет фундаментальной медицины,71e6fb88e703ee5afbd446a02782cd04bb73331d
23,24,+1,+1,+,+,+,5,208,Факультет вычислительной математики и кибернетики,b179466efb90cfb2d3a6be1bc9dda6e311dc3966
24,25,+1,+1,+,+1,+,5,219,Геологический факультет,5dcb26505621729e25f53add3ba340b92fe8a170
25,26,+,+,+,+,+2,5,221,Механико-математический факультет,67339cbb86087b9bc592e582c2bf14370aabfcc3
26,27,+1,+1,+,+,+,5,225,Факультет вычислительной математики и кибернетики,ba419f52c6d3b68d07fcbb8686101277b4bd24ea
27,28,+,+,+,+,+1,5,258,Не из МГУ,73fd9c8a843cd7be34e10c84ec928cc6d428d429
28,29,+1,+1,+1,+,+,5,270,Экономический факультет,1ca0b900f14ccff9329e4a7c0a284b793dd3c44d
29,30,+2,+,+,+,+,5,284,Механико-математический факультет,d277d7a44deedb8c9ae744452d559c3fef1e163f
30,31,+,+,+,+,+,5,331,Факультет вычислительной математики и кибернетики,592999b6f815c6d20a04870c254f31eea5256ff8
31,32,+,+,+1,+1,+,5,357,Экономический факультет,f19c55c49012990fe9bba50f2b457430b40e1968
32,33,+1,+1,+,+1,+,5,381,Химический факультет,178806ead7c69ca4ba082be68e1d0c4a6367b4b8
33,34,+2,+1,+,+,+,5,419,Факультет фундаментальной физико-химической инженерии,0d349f5e7a6e451651359c878b00c97df35613c2
34,35,+1,+,+1,+1,+,5,438,Факультет журналистики,52a08ec107bea4990709c45bc086665271105879
35,36,+2,+,+1,+,+,5,458,Факультет космических исследований,93970efa2ff99b74c332e9fe1fee1db75b783a7d
36,37,+3,+,+,+,+,5,499,Факультет космических исследований,203b232a58bc35c12470a47143b505d3855f78dc
37,38,+,+,+,+2,+,5,504,Химический факультет,02f1e340a9c4be6acb87f705c06f89208d8dff93
38,39,+1,+,+,+,+,5,516,Факультет вычислительной математики и кибернетики,f7bdf0fa59162b23ef34dfff3de6e737a3fbe51d
39,40,+,+,+,+2,+,5,543,Химический факультет,7471b79acfe1be1f1394230114bbfeaff277871e
40,41,+,+,+,+,+,5,550,Химический факультет,57ac07445f3e4a04997a62230b15536e48998c33
41,42,+4,+,+,+,+,5,551,Экономический факультет,89ec4061a3b8e64d9f1abfc3d4f949f318713b38
42,43,+,+,+,+,+,5,568,Физический факультет,54c5d74a63f2a0799671421c7ac29f899cecc3c9
43,44,+1,+,+1,+,+,5,595,Физический факультет,f37ab0985784b089e874af6fb8508694d5f326b8
44,45,+,+,+,+,+,5,618,Химический факультет,35972f0171770b618237f3f8fde03410d7544788
45,46,+,+,+,+,+,5,629,,3c85e6232fbc687ad84b52e9321069ca6f2a458a
46,47,+,+2,+,+,+,5,645,Физический факультет,039ce9db7f5c55ef01904de4f642af614adb8a27
47,48,+,+,+,+1,+,5,663,Факультет биоинженерии и биоинформатики,8d30dc210e550d2e222e792a7dfcb380aa1c4c61
48,49,+,+,+,+1,+,5,728,Географический факультет,9fdaaf3a810f3a9827953045ffed929164e3dc20
49,50,+1,+,+2,+,+3,5,739,Факультет фундаментальной медицины,6e3d507c75110ed12a46fe49df2d2e791fdde8a4
50,51,+,+,+,+,+2,5,762,Физический факультет,49ffaa456beb9459c257a4c18e3e4846616b9af1
51,52,+,+,+,+1,+,5,767,Химический факультет,d0991ee8f854b6e7e9bd9b9a8903ea0c6c55d025
52,53,+,+,+1,+,+,5,800,Химический факультет,0c68706ddb9d26d633e2b49bcf7f83268f45d79e
53,54,+,+,+,+6,+,5,850,Факультет вычислительной математики и кибернетики,09e7d0008727949fcafd733dfa25716e95831734
54,55,+,+,+,+,+2,5,891,Механико-математический факультет,0fb2d2d2cb618377b2851da698b95e86f8ea765d
55,56,+,+,+,+,+1,5,936,Химический факультет,1104a95c6db4cbcf9c8c1d7853c16b554d9d6de2
56,57,+,+,+,+1,+3,5,957,Факультет вычислительной математики и кибернетики,9ff52620e415de700d27b80cc75707b3485dda2d
57,58,+,+,+,+,+,5,1047,Физический факультет,d9ca7070b2a1e3daa1eca45e45185ca89ab2c9a5
58,59,+,+,+,+,+,5,1053,Факультет вычислительной математики и кибернетики,fd4fea4cf351086241f0dd2da8469de3844e2b1e
59,60,+,+,+1,+1,+,5,1150,Факультет фундаментальной медицины,333df7d5031abaa82fccaa8d97ab19cbd21a380b
60,61,+4,+1,+,+1,+7,5,1156,Химический факультет,dbb81dbcd8bc6507af5f00ced9a7e027a9471404
61,62,+,+,+,+,+,5,1200,Высшая школа государственного аудита,95b66f7d2e0e061f5254375e2bffd3cf35d23d8c
62,63,+,+,+,+,+,5,1228,Физический факультет,add9a319ba1f6280c2f74633debeb3e4170199d0
63,64,+,+,+1,+,+,5,1263,Физический факультет,f93cdd292cf0fb297a7993242ab1d0b9190d2576
64,65,+,+1,+,+,+,5,1275,Экономический факультет,9ef2c96170843e13e24ab6507d1fe71a5b878d25
65,66,+,+2,+,+,+,5,1420,Экономический факультет,17a470cb65dfdbedf75a324b25314ef8e97f48a5
66,67,+2,+,+1,+,+1,5,1542,Географический факультет,b65dacae2797c95ad1964300e36033b782ae8697
